3.0e13,3.8e13,"ORION","bottom-left","fullsquare"
8.3e14,1.3e15,"AFGL 2591","right","fullsquare"
5.0e15,7.2e14,"G 24.78","right","fullsquare"
3.8e15,2.0e14,"G 75.78","right","fullsquare"
4.3e15,7.4e14,"NGC 6334 IRS1","top-left","fullsquare"
2.3e15,5.7e14,"NGC 7538 IRS1","top-left","fullsquare"
4.9e15,1.3e15,"W3(H2O)","left","fullsquare"
6.6e15,2.1e15,"W33A","left","fullsquare"
23.2e14,1.6e14,"SGrB2N","right","fullsquare"
